n1,r1,n2,r2,ratio
4096,24,4096,64,1.486176837
4096,32,4096,32,1
4096,32,4096,40,1.090636704
4096,32,4096,48,1.178958633
4096,32,4096,56,1.26121235
4096,32,4096,64,1.333567416
4096,40,4096,40,1
4096,40,4096,48,1.078033794
4096,40,4096,56,1.160456441
4096,40,4096,64,1.227995392
4096,48,4096,48,1
4096,48,4096,56,1.070878964
4096,48,4096,64,1.133656312
4096,56,4096,56,1
4096,56,4096,64,1.057782753
4096,64,4096,64,1
